Arm,Reward,Algorithm
958,0,Thompson Sampling
959,1,Thompson Sampling
960,1,Thompson Sampling
961,1,Thompson Sampling
962,1,Thompson Sampling
963,1,Thompson Sampling
964,1,Thompson Sampling
965,1,Thompson Sampling
966,1,Thompson Sampling
967,1,Thompson Sampling
968,0,Thompson Sampling
969,0,Thompson Sampling
970,1,Thompson Sampling
971,1,Thompson Sampling
972,1,Thompson Sampling
973,1,Thompson Sampling
974,1,Thompson Sampling
975,1,Thompson Sampling
976,1,Thompson Sampling
977,1,Thompson Sampling
978,1,Thompson Sampling
979,1,Thompson Sampling
980,1,Thompson Sampling
981,1,Thompson Sampling
982,1,Thompson Sampling
983,1,Thompson Sampling
984,0,Thompson Sampling
985,0,Thompson Sampling
986,1,Thompson Sampling
987,1,Thompson Sampling
988,0,Thompson Sampling
989,1,Thompson Sampling
990,1,Thompson Sampling
991,1,Thompson Sampling
992,1,Thompson Sampling
993,0,Thompson Sampling
994,1,Thompson Sampling
995,1,Thompson Sampling
996,1,Thompson Sampling
997,1,Thompson Sampling
998,1,Thompson Sampling
999,1,Thompson Sampling
1000,1,Thompson Sampling
1001,1,Thompson Sampling
1002,1,Thompson Sampling
1003,1,Thompson Sampling
1004,1,Thompson Sampling
1005,1,Thompson Sampling
1006,0,Thompson Sampling
1007,1,Thompson Sampling
1008,0,Thompson Sampling
1009,0,Thompson Sampling
1010,1,Thompson Sampling
1011,1,Thompson Sampling
1012,1,Thompson Sampling
1013,1,Thompson Sampling
1014,1,Thompson Sampling
1015,1,Thompson Sampling
1016,1,Thompson Sampling
1017,0,Thompson Sampling
1018,0,Thompson Sampling
1019,0,Thompson Sampling
1020,1,Thompson Sampling
1021,0,Thompson Sampling
1022,0,Thompson Sampling
1023,1,Thompson Sampling
1024,0,Thompson Sampling
1025,1,Thompson Sampling
1026,1,Thompson Sampling
1027,1,Thompson Sampling
1028,0,Thompson Sampling
1029,0,Thompson Sampling
1030,1,Thompson Sampling
1031,1,Thompson Sampling
1032,1,Thompson Sampling
1033,1,Thompson Sampling
1034,0,Thompson Sampling
1035,0,Thompson Sampling
1036,0,Thompson Sampling
1037,1,Thompson Sampling
1038,1,Thompson Sampling
1039,1,Thompson Sampling
1040,1,Thompson Sampling
1041,1,Thompson Sampling
1042,1,Thompson Sampling
1043,0,Thompson Sampling
1044,1,Thompson Sampling
1045,1,Thompson Sampling
1046,1,Thompson Sampling
1047,1,Thompson Sampling
1048,1,Thompson Sampling
1049,1,Thompson Sampling
1050,1,Thompson Sampling
1051,1,Thompson Sampling
1052,1,Thompson Sampling
1053,1,Thompson Sampling
1054,0,Thompson Sampling
1055,1,Thompson Sampling
1056,1,Thompson Sampling
1057,1,Thompson Sampling
1058,0,Thompson Sampling
1059,1,Thompson Sampling
1060,1,Thompson Sampling
1061,1,Thompson Sampling
1062,1,Thompson Sampling
1063,1,Thompson Sampling
1064,1,Thompson Sampling
1065,0,Thompson Sampling
